"","Date","Miles","Cost","Gallons","Distance","CostperGallon","MilesperGallon"
"1",2019-09-13,517,22.25,9.391,0,2.37,0
"2",2019-09-19,795,22.69,9.229,278,2.46,29.6
"3",2019-09-26,1110,27.28,11.09,315,2.46,34.13
"4",2019-10-11,1409,26.13,10.85,299,2.41,26.96
"5",2019-10-18,1695,25.43,10.01,286,2.54,26.36
"6",2019-10-24,2040,28.26,10.87,345,2.6,34.47
"7",2019-10-31,2364,27.44,10.81,324,2.54,29.81
"8",2019-11-06,2651,23.59,9.92,287,2.38,26.55
"9",2019-11-18,2952,25.83,10.33,301,2.5,30.34
"10",2019-11-25,3294,27.72,11.55,342,2.4,33.11
"11",2019-12-16,3558,23.99,9.6,264,2.5,22.86
"12",2020-01-14,3813,22.86,8.93,255,2.56,26.56
"13",2020-01-21,4117,25.5,10.37,304,2.46,34.04
"14",2020-01-29,4412,25,10.59,295,2.36,28.45
"15",2020-02-05,4722,25.58,10.98,310,2.33,29.27
"16",2020-02-12,5009,24.97,10.54,287,2.37,26.14
"17",2020-02-21,5316,25.65,10.69,307,2.4,29.13
"18",2020-03-01,5583,24.25,10.74,267,2.26,24.98
"19",2020-03-18,5691,9.46,4.3,108,2.2,10.06
"20",2020-05-29,5884,16.14,8.77,193,1.84,44.88
"21",2020-06-28,6153,24.06,11.58,269,2.08,30.67
"22",2020-07-25,6424,23.54,10.7,271,2.2,23.4
